indicador,fecha,kpi,nota,store_nbr,disponota,fecha_ejecucion,relleno_disponota
PI,2023-06-02,46.75,3.0,940,4.7,2023-06-05T07:45:17.601902,false
PI,2023-06-04,76.6,8.0,205,9.5,2023-06-05T07:45:17.601902,false
PI,2023-06-04,52.08,5.0,537,6.59,2023-06-05T07:45:17.601902,false
PI,2023-06-04,54.46,5.0,161,7.3,2023-06-05T07:45:17.601902,false
PI,2023-05-31,66.49,6.0,461,7.7,2023-06-05T07:45:17.601902,false
PI,2023-06-04,49.49,4.0,280,7.51,2023-06-05T07:45:17.601902,false
PI,2023-05-30,69.9,6.0,678,9.08,2023-06-05T07:45:17.601902,false
PI,2023-06-04,62.65,5.0,81,8.47,2023-06-05T07:45:17.601902,false
PI,2023-05-30,55.94,6.0,176,8.63,2023-06-05T07:45:17.601902,false
PI,2023-05-31,48.43,3.0,165,7.91,2023-06-05T07:45:17.601902,false
PI,2023-06-01,63.62,5.0,764,8.45,2023-06-05T07:45:17.601902,false
PI,2023-06-01,52.08,5.0,537,7.25,2023-06-05T07:45:17.601902,false
PI,2023-06-03,58.33,5.0,1,7.85,2023-06-05T07:45:17.601902,false
PI,2023-06-04,56.52,4.0,462,8.96,2023-06-05T07:45:17.601902,false
PI,2023-06-04,53.9,4.0,744,8.22,2023-06-05T07:45:17.601902,false
PI,2023-06-03,57.32,4.0,53,7.65,2023-06-05T07:45:17.601902,false
PI,2023-05-30,45.57,4.0,783,7.59,2023-06-05T07:45:17.601902,false
PI,2023-06-01,49.92,4.0,49,7.54,2023-06-05T07:45:17.601902,false
PI,2023-05-29,51.03,4.0,610,5.94,2023-06-05T07:45:17.601902,false
PI,2023-06-04,52.46,4.0,74,7.78,2023-06-05T07:45:17.601902,false
PI,2023-05-29,55.31,6.0,160,8.92,2023-06-05T07:45:17.601902,false
PI,2023-06-01,51.08,4.0,978,8.14,2023-06-05T07:45:17.601902,false
PI,2023-05-29,33.98,3.0,587,7.22,2023-06-05T07:45:17.601902,false
PI,2023-06-04,48.7,5.0,50,7.8,2023-06-05T07:45:17.601902,false
PI,2023-06-02,10.15,1.0,58,6.48,2023-06-05T07:45:17.601902,false
PI,2023-05-30,52.46,4.0,256,5.33,2023-06-05T07:45:17.601902,false
PI,2023-05-31,48.63,3.0,680,8.11,2023-06-05T07:45:17.601902,false
PI,2023-06-03,54.04,4.0,78,6.89,2023-06-05T07:45:17.601902,false
PI,2023-05-29,60.89,5.0,644,8.06,2023-06-05T07:45:17.601902,false
PI,2023-05-29,42.51,4.0,582,8.58,2023-06-05T07:45:17.601902,false
PI,2023-05-30,69.34,9.0,527,8.58,2023-06-05T07:45:17.601902,false
PI,2023-05-29,49.22,5.0,987,7.81,2023-06-05T07:45:17.601902,false
PI,2023-05-31,51.3,4.0,937,7.28,2023-06-05T07:45:17.601902,false
PI,2023-06-01,60.89,5.0,463,8.25,2023-06-05T07:45:17.601902,false
PI,2023-06-02,8.66,1.0,631,7.55,2023-06-05T07:45:17.601902,false
PI,2023-06-04,40.53,4.0,598,6.62,2023-06-05T07:45:17.601902,false
PI,2023-05-31,50.0,4.0,216,6.14,2023-06-05T07:45:17.601902,false
PI,2023-06-03,50.71,4.0,696,7.38,2023-06-05T07:45:17.601902,false
PI,2023-05-31,33.98,3.0,587,6.62,2023-06-05T07:45:17.601902,false
PI,2023-06-01,63.48,7.0,194,8.95,2023-06-05T07:45:17.601902,false
PI,2023-06-03,42.92,2.0,657,7.34,2023-06-05T07:45:17.601902,false
PI,2023-06-03,50.02,4.0,459,6.8,2023-06-05T07:45:17.601902,false
PI,2023-06-04,44.37,4.0,588,6.15,2023-06-05T07:45:17.601902,false
PI,2023-06-04,47.06,3.0,72,7.44,2023-06-05T07:45:17.601902,false
PI,2023-05-31,83.69,10.0,76,7.81,2023-06-05T07:45:17.601902,false
PI,2023-05-30,59.89,5.0,687,8.25,2023-06-05T07:45:17.601902,false
PI,2023-05-29,53.37,4.0,608,8.32,2023-06-05T07:45:17.601902,false
PI,2023-05-31,42.86,2.0,57,7.88,2023-06-05T07:45:17.601902,false
PI,2023-06-02,61.44,7.0,997,8.79,2023-06-05T07:45:17.601902,false
PI,2023-06-02,57.35,4.0,166,7.83,2023-06-05T07:45:17.601902,false
PI,2023-06-01,62.03,5.0,206,6.93,2023-06-05T07:45:17.601902,false
PI,2023-05-30,52.96,4.0,929,8.47,2023-06-05T07:45:17.601902,false
PI,2023-06-01,54.76,4.0,89,7.47,2023-06-05T07:45:17.601902,false
PI,2023-06-01,67.82,8.0,954,8.38,2023-06-05T07:45:17.601902,false
PI,2023-06-03,31.17,2.0,502,7.56,2023-06-05T07:45:17.601902,false
PI,2023-06-03,51.08,4.0,978,8.26,2023-06-05T07:45:17.601902,false
PI,2023-06-02,45.03,3.0,656,8.23,2023-06-05T07:45:17.601902,false
PI,2023-05-30,51.87,4.0,421,6.7,2023-06-05T07:45:17.601902,false
PI,2023-05-29,10.15,1.0,58,6.61,2023-06-05T07:45:17.601902,false
PI,2023-05-30,59.7,5.0,211,6.59,2023-06-05T07:45:17.601902,false
PI,2023-06-03,41.95,4.0,154,7.98,2023-06-05T07:45:17.601902,false
PI,2023-06-01,53.07,5.0,565,8.61,2023-06-05T07:45:17.601902,false
PI,2023-05-31,68.57,6.0,51,8.68,2023-06-05T07:45:17.601902,false
PI,2023-05-30,60.0,5.0,496,6.93,2023-06-05T07:45:17.601902,false
PI,2023-05-29,28.89,2.0,541,7.62,2023-06-05T07:45:17.601902,false
PI,2023-05-30,61.38,5.0,431,7.53,2023-06-05T07:45:17.601902,false
PI,2023-05-29,55.0,6.0,581,8.11,2023-06-05T07:45:17.601902,false
PI,2023-05-31,67.82,8.0,954,8.85,2023-06-05T07:45:17.601902,false
PI,2023-05-29,55.58,4.0,618,7.94,2023-06-05T07:45:17.601902,false
PI,2023-05-30,44.48,4.0,948,8.5,2023-06-05T07:45:17.601902,false
PI,2023-06-03,43.68,3.0,650,7.55,2023-06-05T07:45:17.601902,false
PI,2023-06-02,64.37,5.0,693,8.9,2023-06-05T07:45:17.601902,false
PI,2023-06-03,57.14,4.0,518,8.57,2023-06-05T07:45:17.601902,false
PI,2023-06-04,48.82,3.0,670,7.1,2023-06-05T07:45:17.601902,false
PI,2023-06-04,36.69,3.0,568,7.36,2023-06-05T07:45:17.601902,false
PI,2023-06-03,62.65,5.0,81,8.47,2023-06-05T07:45:17.601902,false
PI,2023-06-04,48.42,3.0,129,6.1,2023-06-05T07:45:17.601902,false
PI,2023-05-29,49.55,4.0,8,7.16,2023-06-05T07:45:17.601902,false
PI,2023-06-01,48.82,3.0,670,7.1,2023-06-05T07:45:17.601902,false
PI,2023-06-01,48.42,3.0,129,6.69,2023-06-05T07:45:17.601902,false
PI,2023-05-31,51.03,4.0,477,6.62,2023-06-05T07:45:17.601902,false
PI,2023-06-02,6.57,1.0,646,6.4,2023-06-05T07:45:17.601902,false
PI,2023-06-04,58.38,5.0,247,8.68,2023-06-05T07:45:17.601902,false
PI,2023-06-04,48.64,5.0,503,7.42,2023-06-05T07:45:17.601902,false
PI,2023-05-30,59.65,5.0,2,7.63,2023-06-05T07:45:17.601902,false
PI,2023-06-02,55.77,4.0,56,7.11,2023-06-05T07:45:17.601902,false
PI,2023-06-02,58.56,5.0,43,8.65,2023-06-05T07:45:17.601902,false
PI,2023-05-29,58.82,5.0,469,7.78,2023-06-05T07:45:17.601902,false
PI,2023-06-04,50.53,4.0,627,8.07,2023-06-05T07:45:17.601902,false
PI,2023-05-29,40.63,4.0,559,6.86,2023-06-05T07:45:17.601902,false
PI,2023-06-04,49.31,4.0,55,6.55,2023-06-05T07:45:17.601902,false
PI,2023-06-01,57.62,6.0,545,8.19,2023-06-05T07:45:17.601902,false
PI,2023-05-31,40.94,4.0,506,8.43,2023-06-05T07:45:17.601902,false
PI,2023-06-04,66.33,6.0,652,8.69,2023-06-05T07:45:17.601902,false
PI,2023-06-04,50.0,4.0,246,8.76,2023-06-05T07:45:17.601902,false
PI,2023-06-03,60.2,5.0,275,7.41,2023-06-05T07:45:17.601902,false
PI,2023-06-03,49.31,4.0,55,6.55,2023-06-05T07:45:17.601902,false
PI,2023-05-31,6.57,1.0,646,6.4,2023-06-05T07:45:17.601902,false
PI,2023-05-30,44.48,3.0,33,6.64,2023-06-05T07:45:17.601902,false
PI,2023-06-02,52.93,4.0,686,8.49,2023-06-05T07:45:17.601902,false
PI,2023-06-01,56.37,4.0,62,6.98,2023-06-05T07:45:17.601902,false
PI,2023-06-03,58.79,5.0,218,6.59,2023-06-05T07:45:17.601902,false
PI,2023-06-02,56.33,4.0,15,8.34,2023-06-05T07:45:17.601902,false
PI,2023-05-31,41.95,4.0,154,7.31,2023-06-05T07:45:17.601902,false
PI,2023-06-03,39.02,4.0,558,8.29,2023-06-05T07:45:17.601902,false
PI,2023-05-30,41.77,4.0,622,7.7,2023-06-05T07:45:17.601902,false
PI,2023-06-03,76.6,8.0,205,7.7,2023-06-05T07:45:17.601902,false
PI,2023-06-03,58.56,5.0,43,8.45,2023-06-05T07:45:17.601902,false
PI,2023-05-30,47.65,3.0,36,7.52,2023-06-05T07:45:17.601902,false
PI,2023-06-01,40.88,4.0,521,8.54,2023-06-05T07:45:17.601902,false
PI,2023-05-31,65.03,6.0,134,9.16,2023-06-05T07:45:17.601902,false
PI,2023-06-02,53.22,4.0,142,8.48,2023-06-05T07:45:17.601902,false
PI,2023-06-04,45.31,3.0,209,7.35,2023-06-05T07:45:17.601902,false
PI,2023-05-31,51.25,4.0,38,8.61,2023-06-05T07:45:17.601902,false
PI,2023-06-01,58.17,5.0,982,6.73,2023-06-05T07:45:17.601902,false
PI,2023-06-03,45.46,3.0,144,6.83,2023-06-05T07:45:17.601902,false
PI,2023-05-30,29.84,2.0,551,6.9,2023-06-05T07:45:17.601902,false
PI,2023-05-30,54.55,4.0,52,8.48,2023-06-05T07:45:17.601902,false
PI,2023-06-02,42.86,4.0,440,8.64,2023-06-05T07:45:17.601902,false
PI,2023-06-04,58.17,5.0,982,6.77,2023-06-05T07:45:17.601902,false
PI,2023-06-04,53.11,5.0,198,7.19,2023-06-05T07:45:17.601902,false
PI,2023-05-29,56.52,4.0,728,8.39,2023-06-05T07:45:17.601902,false
PI,2023-06-04,60.71,7.0,593,8.95,2023-06-05T07:45:17.601902,false
PI,2023-05-31,38.35,2.0,83,7.68,2023-06-05T07:45:17.601902,false
PI,2023-06-01,43.28,4.0,451,7.14,2023-06-05T07:45:17.601902,false
PI,2023-06-03,48.01,5.0,767,9.03,2023-06-05T07:45:17.601902,false
PI,2023-06-03,52.7,4.0,68,7.06,2023-06-05T07:45:17.601902,false
PI,2023-06-01,30.65,2.0,570,6.5,2023-06-05T07:45:17.601902,false
PI,2023-05-31,54.04,4.0,78,6.79,2023-06-05T07:45:17.601902,false
PI,2023-06-04,67.01,6.0,203,8.03,2023-06-05T07:45:17.601902,false
PI,2023-06-03,49.55,4.0,8,7.16,2023-06-05T07:45:17.601902,false
PI,2023-06-04,33.4,2.0,48,6.57,2023-06-05T07:45:17.601902,false
PI,2023-06-02,31.33,2.0,7,5.86,2023-06-05T07:45:17.601902,false
PI,2023-05-31,58.61,5.0,607,8.5,2023-06-05T07:45:17.601902,false
PI,2023-06-04,66.56,6.0,524,8.58,2023-06-05T07:45:17.601902,false
PI,2023-06-01,42.15,2.0,977,6.66,2023-06-05T07:45:17.601902,false
PI,2023-05-30,43.28,4.0,451,7.43,2023-06-05T07:45:17.601902,false
PI,2023-06-02,66.25,8.0,155,7.81,2023-06-05T07:45:17.601902,false
PI,2023-06-04,50.19,5.0,773,7.92,2023-06-05T07:45:17.601902,false
PI,2023-06-02,65.5,7.0,992,8.95,2023-06-05T07:45:17.601902,false
PI,2023-05-31,46.51,4.0,522,8.04,2023-06-05T07:45:17.601902,false
PI,2023-06-04,64.29,5.0,612,8.22,2023-06-05T07:45:17.601902,false
PI,2023-06-02,43.73,4.0,591,8.64,2023-06-05T07:45:17.601902,false
PI,2023-06-01,59.89,5.0,54,8.64,2023-06-05T07:45:17.601902,false
PI,2023-06-03,59.09,5.0,747,7.47,2023-06-05T07:45:17.601902,false
PI,2023-05-31,47.25,4.0,534,8.1,2023-06-05T07:45:17.601902,false
PI,2023-06-02,42.48,4.0,557,8.44,2023-06-05T07:45:17.601902,false
PI,2023-06-02,59.89,5.0,54,8.64,2023-06-05T07:45:17.601902,false
PI,2023-05-31,47.51,3.0,137,6.99,2023-06-05T07:45:17.601902,false
PI,2023-06-02,60.19,5.0,654,8.17,2023-06-05T07:45:17.601902,false
PI,2023-06-04,62.83,5.0,267,9.04,2023-06-05T07:45:17.601902,false
PI,2023-06-02,59.92,5.0,516,7.06,2023-06-05T07:45:17.601902,false
PI,2023-06-04,66.13,8.0,533,7.33,2023-06-05T07:45:17.601902,false
PI,2023-06-02,44.48,3.0,33,6.35,2023-06-05T07:45:17.601902,false
PI,2023-06-01,38.59,3.0,505,7.71,2023-06-05T07:45:17.601902,false
PI,2023-06-01,72.4,7.0,4,9.39,2023-06-05T07:45:17.601902,false
PI,2023-06-02,43.41,3.0,488,5.91,2023-06-05T07:45:17.601902,false
PI,2023-06-02,56.49,6.0,540,7.27,2023-06-05T07:45:17.601902,false
PI,2023-06-01,46.41,4.0,508,8.38,2023-06-05T07:45:17.601902,false
PI,2023-06-03,38.71,2.0,214,5.3,2023-06-05T07:45:17.601902,false
PI,2023-06-01,33.98,3.0,587,6.72,2023-06-05T07:45:17.601902,false
PI,2023-06-04,63.82,5.0,653,8.02,2023-06-05T07:45:17.601902,false
PI,2023-06-02,59.69,6.0,784,9.18,2023-06-05T07:45:17.601902,false
PI,2023-05-30,67.82,8.0,954,8.65,2023-06-05T07:45:17.601902,false
PI,2023-06-01,17.53,1.0,229,5.7,2023-06-05T07:45:17.601902,false
PI,2023-06-02,46.3,3.0,94,8.4,2023-06-05T07:45:17.601902,false
PI,2023-06-04,69.09,6.0,16,7.78,2023-06-05T07:45:17.601902,false
PI,2023-06-03,56.93,4.0,685,8.48,2023-06-05T07:45:17.601902,false
PI,2023-06-03,42.46,2.0,91,6.59,2023-06-05T07:45:17.601902,false
PI,2023-06-01,46.28,3.0,498,6.11,2023-06-05T07:45:17.601902,false
PI,2023-05-30,62.65,5.0,81,8.27,2023-06-05T07:45:17.601902,false
PI,2023-06-04,64.22,5.0,606,8.03,2023-06-05T07:45:17.601902,false
PI,2023-05-30,53.73,4.0,195,8.42,2023-06-05T07:45:17.601902,false
PI,2023-06-04,47.77,4.0,586,8.52,2023-06-05T07:45:17.601902,false
PI,2023-06-01,61.38,5.0,431,7.53,2023-06-05T07:45:17.601902,false
PI,2023-05-31,41.32,2.0,632,7.2,2023-06-05T07:45:17.601902,false
PI,2023-06-04,64.37,5.0,693,9.1,2023-06-05T07:45:17.601902,false
PI,2023-05-30,53.84,4.0,684,8.09,2023-06-05T07:45:17.601902,false
PI,2023-06-01,60.02,5.0,621,8.65,2023-06-05T07:45:17.601902,false
PI,2023-06-04,40.32,2.0,294,8.36,2023-06-05T07:45:17.601902,false
PI,2023-06-03,55.94,6.0,176,9.18,2023-06-05T07:45:17.601902,false
PI,2023-06-04,56.81,4.0,125,8.33,2023-06-05T07:45:17.601902,false
PI,2023-06-04,44.12,4.0,562,7.88,2023-06-05T07:45:17.601902,false
PI,2023-05-31,55.22,6.0,567,8.29,2023-06-05T07:45:17.601902,false
PI,2023-05-29,50.75,4.0,79,8.36,2023-06-05T07:45:17.601902,false
PI,2023-06-02,52.73,5.0,590,7.87,2023-06-05T07:45:17.601902,false
PI,2023-06-01,65.79,6.0,215,7.3,2023-06-05T07:45:17.601902,false
PI,2023-06-03,62.03,5.0,206,6.93,2023-06-05T07:45:17.601902,false
PI,2023-05-30,36.39,3.0,454,6.9,2023-06-05T07:45:17.601902,false
PI,2023-06-04,45.85,4.0,589,7.89,2023-06-05T07:45:17.601902,false
PI,2023-06-02,59.68,5.0,268,7.33,2023-06-05T07:45:17.601902,false
PI,2023-05-29,44.02,3.0,121,7.4,2023-06-05T07:45:17.601902,false
PI,2023-06-03,44.02,3.0,121,7.95,2023-06-05T07:45:17.601902,false
PI,2023-05-30,42.51,4.0,582,8.38,2023-06-05T07:45:17.601902,false
PI,2023-06-03,59.8,5.0,213,6.0,2023-06-05T07:45:17.601902,false
PI,2023-05-31,53.37,4.0,608,8.17,2023-06-05T07:45:17.601902,false
PI,2023-06-01,48.8,3.0,92,8.35,2023-06-05T07:45:17.601902,false
PI,2023-06-03,42.86,4.0,440,8.44,2023-06-05T07:45:17.601902,false
PI,2023-06-04,57.19,6.0,13,6.85,2023-06-05T07:45:17.601902,false
PI,2023-05-29,56.16,4.0,242,8.46,2023-06-05T07:45:17.601902,false
PI,2023-06-04,55.41,4.0,514,8.0,2023-06-05T07:45:17.601902,false
PI,2023-06-02,67.01,6.0,203,7.36,2023-06-05T07:45:17.601902,false
PI,2023-05-30,42.86,2.0,57,7.68,2023-06-05T07:45:17.601902,false
PI,2023-05-30,59.09,5.0,747,7.7,2023-06-05T07:45:17.601902,false
PI,2023-06-03,47.68,3.0,99,7.64,2023-06-05T07:45:17.601902,false
PI,2023-05-29,58.59,5.0,259,8.61,2023-06-05T07:45:17.601902,false
PI,2023-05-29,49.31,4.0,55,6.39,2023-06-05T07:45:17.601902,false
PI,2023-06-01,72.85,10.0,592,9.2,2023-06-05T07:45:17.601902,false
PI,2023-05-30,51.68,5.0,595,7.67,2023-06-05T07:45:17.601902,false
PI,2023-05-29,51.3,4.0,937,7.63,2023-06-05T07:45:17.601902,false
PI,2023-05-29,65.03,6.0,134,8.76,2023-06-05T07:45:17.601902,false
PI,2023-06-02,57.74,4.0,73,7.11,2023-06-05T07:45:17.601902,false
PI,2023-06-02,55.02,4.0,146,6.84,2023-06-05T07:45:17.601902,false
PI,2023-05-30,27.44,2.0,490,7.9,2023-06-05T07:45:17.601902,false
PI,2023-05-31,52.94,4.0,196,7.89,2023-06-05T07:45:17.601902,false
PI,2023-05-31,55.41,4.0,514,8.0,2023-06-05T07:45:17.601902,false
PI,2023-06-01,52.38,5.0,727,8.97,2023-06-05T07:45:17.601902,false
PI,2023-06-04,33.98,3.0,587,6.8,2023-06-05T07:45:17.601902,false
PI,2023-06-02,60.2,5.0,275,7.41,2023-06-05T07:45:17.601902,false
PI,2023-06-01,53.59,5.0,972,8.81,2023-06-05T07:45:17.601902,false
PI,2023-06-02,42.46,2.0,91,6.91,2023-06-05T07:45:17.601902,false
PI,2023-06-02,66.23,6.0,122,8.31,2023-06-05T07:45:17.601902,false
PI,2023-06-04,59.43,5.0,37,8.48,2023-06-05T07:45:17.601902,false
PI,2023-06-02,47.68,3.0,97,6.79,2023-06-05T07:45:17.601902,false
PI,2023-05-29,56.81,4.0,125,8.33,2023-06-05T07:45:17.601902,false
PI,2023-06-02,58.13,6.0,17,8.51,2023-06-05T07:45:17.601902,false
PI,2023-06-01,57.35,4.0,61,8.62,2023-06-05T07:45:17.601902,false
PI,2023-05-29,45.57,4.0,996,5.37,2023-06-05T07:45:17.601902,false
PI,2023-06-04,58.04,5.0,635,8.56,2023-06-05T07:45:17.601902,false
PI,2023-05-29,53.07,5.0,565,9.01,2023-06-05T07:45:17.601902,false
PI,2023-06-02,55.41,4.0,514,8.0,2023-06-05T07:45:17.601902,false
PI,2023-06-02,43.68,3.0,650,7.75,2023-06-05T07:45:17.601902,false
PI,2023-06-03,55.66,4.0,513,7.16,2023-06-05T07:45:17.601902,false
PI,2023-05-30,48.72,3.0,85,7.62,2023-06-05T07:45:17.601902,false
PI,2023-06-03,56.52,4.0,462,7.16,2023-06-05T07:45:17.601902,false
PI,2023-06-02,76.94,8.0,674,8.2,2023-06-05T07:45:17.601902,false
PI,2023-06-02,46.51,4.0,522,8.04,2023-06-05T07:45:17.601902,false
PI,2023-05-30,68.22,9.0,766,8.92,2023-06-05T07:45:17.601902,false
PI,2023-05-30,38.14,3.0,594,7.63,2023-06-05T07:45:17.601902,false
PI,2023-06-04,35.08,3.0,511,5.3,2023-06-05T07:45:17.601902,false
PI,2023-06-03,41.43,4.0,580,8.32,2023-06-05T07:45:17.601902,false
PI,2023-06-04,59.35,5.0,253,5.88,2023-06-05T07:45:17.601902,false
PI,2023-06-04,61.41,5.0,227,9.07,2023-06-05T07:45:17.601902,false
PI,2023-06-04,19.26,1.0,40,6.65,2023-06-05T07:45:17.601902,false
PI,2023-06-01,52.46,4.0,256,6.08,2023-06-05T07:45:17.601902,false
PI,2023-06-03,59.42,5.0,602,6.9,2023-06-05T07:45:17.601902,false
PI,2023-05-31,53.9,4.0,744,8.22,2023-06-05T07:45:17.601902,false
PI,2023-06-03,48.42,3.0,129,6.15,2023-06-05T07:45:17.601902,false
PI,2023-06-04,46.41,4.0,508,7.54,2023-06-05T07:45:17.601902,false
PI,2023-05-31,56.81,4.0,125,8.33,2023-06-05T07:45:17.601902,false
PI,2023-06-01,39.12,4.0,572,7.17,2023-06-05T07:45:17.601902,false
PI,2023-05-31,54.28,4.0,120,8.25,2023-06-05T07:45:17.601902,false
PI,2023-06-03,59.68,5.0,239,6.67,2023-06-05T07:45:17.601902,false
PI,2023-05-30,55.0,6.0,581,7.61,2023-06-05T07:45:17.601902,false
PI,2023-06-02,64.22,5.0,606,8.18,2023-06-05T07:45:17.601902,false
PI,2023-06-04,57.22,4.0,603,6.95,2023-06-05T07:45:17.601902,false
PI,2023-05-30,47.39,3.0,35,8.84,2023-06-05T07:45:17.601902,false
PI,2023-06-03,50.65,5.0,467,7.11,2023-06-05T07:45:17.601902,false
PI,2023-05-30,53.22,4.0,142,8.08,2023-06-05T07:45:17.601902,false
PI,2023-06-01,63.82,5.0,653,8.57,2023-06-05T07:45:17.601902,false
PI,2023-05-31,54.89,4.0,65,8.18,2023-06-05T07:45:17.601902,false
PI,2023-05-30,61.76,7.0,529,8.79,2023-06-05T07:45:17.601902,false
PI,2023-06-03,47.85,3.0,98,6.98,2023-06-05T07:45:17.601902,false
PI,2023-05-31,66.56,6.0,523,8.09,2023-06-05T07:45:17.601902,false
PI,2023-05-29,61.2,5.0,959,7.17,2023-06-05T07:45:17.601902,false
PI,2023-05-30,51.05,4.0,39,8.49,2023-06-05T07:45:17.601902,false
PI,2023-05-31,52.72,4.0,619,7.64,2023-06-05T07:45:17.601902,false
PI,2023-06-03,51.05,4.0,39,8.44,2023-06-05T07:45:17.601902,false
PI,2023-06-02,47.06,3.0,72,7.39,2023-06-05T07:45:17.601902,false
PI,2023-06-02,66.29,6.0,647,9.36,2023-06-05T07:45:17.601902,false
PI,2023-06-04,67.74,8.0,980,9.02,2023-06-05T07:45:17.601902,false
PI,2023-06-01,50.0,5.0,12,8.41,2023-06-05T07:45:17.601902,false
PI,2023-05-29,50.71,4.0,696,7.8,2023-06-05T07:45:17.601902,false
PI,2023-06-02,48.16,3.0,86,7.49,2023-06-05T07:45:17.601902,false
PI,2023-06-03,45.57,4.0,996,4.84,2023-06-05T07:45:17.601902,false
PI,2023-06-02,57.04,4.0,182,8.8,2023-06-05T07:45:17.601902,false
